id,page_id,data_type_code
519,7417,PDF
542,7138,DOC
534,7330,PDF
554,7162,DOC
555,7168,DOC
567,7894,DOC
590,3881,DOC
617,3223,PDF
636,3234,PDF
639,1893,DOC
644,9164,PDF
671,1483,PDF
691,9193,DOC
696,9574,PDF
727,9642,PDF
733,9595,PDF
737,9640,PDF
773,9684,PDF
778,9600,PDF
801,9505,PDF
805,9516,PDF
830,9613,PDF
835,9615,DOC
856,9690,PDF
859,9682,PDF
905,9419,PDF
912,9410,PDF
914,9437,PDF
935,9705,PDF
953,10657,PDF
974,1182,PDF
981,1493,PDF
994,10934,PDF
1004,10954,DOC
1018,10950,DOC
1037,10946,PDF
1066,11038,PDF
1071,11053,DOC
1092,1255,PDF
1112,1524,PDF
1136,1961,DOC
1142,1963,DOC
1227,3383,DOC
1249,14595,DOC
1291,14581,PDF
1298,14621,PDF
1333,14601,PDF
1349,14670,PDF
1373,14666,PDF
1397,14802,PDF
1421,15316,PDF
1438,15353,PDF
1439,15340,PDF
1461,15380,PDF
1464,15707,DOC
1469,15712,DOC
1498,15717,PDF
1526,15409,PDF
1557,16019,DOC
1555,15496,PDF
1580,16052,DOC
1603,16107,DOC
1606,16108,DOC
1633,15414,PDF
1655,15463,PDF
1662,15466,PDF
1700,16003,PDF
1673,15514,PDF
1730,15797,PDF
1740,15823,PDF
1770,15837,PDF
1825,15488,PDF
1809,15913,DOC
1828,15732,PDF
1855,15576,PDF
1884,15554,DOC
1890,15605,PDF
1895,15649,DOC
1919,16221,DOC
1928,16253,DOC
1970,3945,PDF
1986,4026,PDF
2008,4042,PDF
2013,5785,DOC
2050,3969,PDF
2073,16777,DOC
2094,4047,DOC
2114,3624,PDF
2126,4137,PPT
2162,3392,DOC
2185,18425,PDF
2216,18446,PDF
2232,18467,PDF
2279,18466,PDF
2284,18507,PDF
2300,18756,DOC
2347,18545,PDF
2380,3833,PDF
2336,18471,PDF
2320,18433,PDF
2391,18792,DOC
2399,2773,DOC
2401,4150,DOC
